"","Baricitinib.Remdesivir_2020.12.11.WTP","Baricitinib.Remdesivir_2020.12.11.LY_dampack","Baricitinib.Remdesivir_2020.12.11.LY_code","Baricitinib.Remdesivir_2020.12.11.LY_delta","Baricitinib.Remdesivir_2020.12.11.QALY_dampack","Baricitinib.Remdesivir_2020.12.11.QALY_code","Baricitinib.Remdesivir_2020.12.11.QALY_delta","Casirivimab.Imdevimab_2021_06_16.WTP","Casirivimab.Imdevimab_2021_06_16.LY_dampack","Casirivimab.Imdevimab_2021_06_16.LY_code","Casirivimab.Imdevimab_2021_06_16.LY_delta","Casirivimab.Imdevimab_2021_06_16.QALY_dampack","Casirivimab.Imdevimab_2021_06_16.QALY_code","Casirivimab.Imdevimab_2021_06_16.QALY_delta","Dexamethasone_2020.07.17.WTP","Dexamethasone_2020.07.17.LY_dampack","Dexamethasone_2020.07.17.LY_code","Dexamethasone_2020.07.17.LY_delta","Dexamethasone_2020.07.17.QALY_dampack","Dexamethasone_2020.07.17.QALY_code","Dexamethasone_2020.07.17.QALY_delta","Hydroxychloroquine_2020.11.19.WTP","Hydroxychloroquine_2020.11.19.LY_dampack","Hydroxychloroquine_2020.11.19.LY_code","Hydroxychloroquine_2020.11.19.LY_delta","Hydroxychloroquine_2020.11.19.QALY_dampack","Hydroxychloroquine_2020.11.19.QALY_code","Hydroxychloroquine_2020.11.19.QALY_delta","Interferon.B1a_2020.12.02.WTP","Interferon.B1a_2020.12.02.LY_dampack","Interferon.B1a_2020.12.02.LY_code","Interferon.B1a_2020.12.02.LY_delta","Interferon.B1a_2020.12.02.QALY_dampack","Interferon.B1a_2020.12.02.QALY_code","Interferon.B1a_2020.12.02.QALY_delta","Lopinavir.Ritonavir_2020.10.05.WTP","Lopinavir.Ritonavir_2020.10.05.LY_dampack","Lopinavir.Ritonavir_2020.10.05.LY_code","Lopinavir.Ritonavir_2020.10.05.LY_delta","Lopinavir.Ritonavir_2020.10.05.QALY_dampack","Lopinavir.Ritonavir_2020.10.05.QALY_code","Lopinavir.Ritonavir_2020.10.05.QALY_delta","Remdesivir_2020.10.15.WTP","Remdesivir_2020.10.15.LY_dampack","Remdesivir_2020.10.15.LY_code","Remdesivir_2020.10.15.LY_delta","Remdesivir_2020.10.15.QALY_dampack","Remdesivir_2020.10.15.QALY_code","Remdesivir_2020.10.15.QALY_delta","Tocilizumab_2021.04.22.WTP","Tocilizumab_2021.04.22.LY_dampack","Tocilizumab_2021.04.22.LY_code","Tocilizumab_2021.04.22.LY_delta","Tocilizumab_2021.04.22.QALY_dampack","Tocilizumab_2021.04.22.QALY_code","Tocilizumab_2021.04.22.QALY_delta"
"11",100000,309208204.333086,309208204.333086,0,217836969.101099,217837045.402049,-76.3009496927261,100000,496143525.639656,496143525.639656,0,930466056.117112,930466064.832623,-8.71551156044006,100000,0,0,0,111287804.047924,111287804.814451,-0.766526713967323,100000,505001412.490143,505001516.448707,-103.958564519882,1121025378.92552,1121025420.3927,-41.4671862125397,100000,110009722.703994,110009722.703994,0,64974429.8622187,64974432.5787509,-2.71653218567371,100000,1528916719.83957,1528916903.01495,-183.175386428833,1564081609.17461,1564081609.17461,0,100000,423610381.994673,423610381.994673,0,715515141.219834,715515167.522546,-26.302711725235,100000,586249.459292221,586249.459292221,0,491526568.162991,491526568.162991,0
"12",110000,344827917.77145,344827917.77145,0,221600095.830136,221600118.361392,-22.5312562584877,110000,470042248.876767,470042376.638089,-127.761321723461,891784456.01131,891784456.01131,0,110000,0,0,0,106454386.287152,106454386.287152,0,110000,493851910.072096,493851988.562379,-78.4902831912041,1060996864.92644,1060996982.56234,-117.635892987251,110000,125674678.464559,125674681.31109,-2.84653189778328,67823016.3159351,67823025.6970223,-9.38108719885349,110000,1579263522.48417,1579263522.48417,0,1562886649.14555,1562886694.32082,-45.1752767562866,110000,425416642.678555,425416687.080436,-44.4018814563751,685090753.452738,685090753.452738,0,110000,462028.219821533,462028.219821533,0,470333775.824969,470333775.824969,0
"13",120000,380452868.030987,380452868.030987,0,227803002.84679,227803002.84679,0,120000,450813774.851806,450813864.433993,-89.5821873545647,857604053.835848,857604053.835848,0,120000,0,0,0,102206617.738579,102206617.738579,0,120000,488691616.812265,488691616.812265,0,1008838078.40608,1008838078.40608,0,120000,141526444.129008,141526444.129008,0,71767764.5487962,71767764.5487962,0,120000,1637050960.87788,1637050960.87788,0,1565815561.91109,1565815561.91109,0,120000,431660148.939742,431660148.939742,0,659838781.841302,659838875.23452,-93.3932178020477,120000,392404.477553804,392404.477553804,0,451734824.273232,451734824.273232,0
"14",130000,416086330.134269,416086330.134269,0,236052784.307593,236052784.307593,0,130000,437092364.534679,437092532.424058,-167.889379024506,827069341.470698,827069341.470698,0,130000,0,0,0,98458211.0995735,98458211.0995735,0,130000,487383446.138225,487383446.138225,0,964229661.05421,964229689.005931,-27.9517208337784,130000,157524503.048636,157524503.048636,0,76537843.8809905,76537859.5024769,-15.6214863955975,130000,1699490362.85585,1699490486.30812,-123.452274799347,1571939505.99332,1571939505.99332,0,130000,441590074.96541,441590192.625258,-117.659848451614,638676275.992403,638676275.992403,0,130000,343969.414505634,343969.414505634,0,435097140.553255,435097140.553255,0
"15",140000,451726550.551281,451726550.551281,0,245803110.506979,245803149.525375,-39.0183960497379,140000,427461492.948459,427461492.948459,0,799601301.69037,799601301.69037,0,140000,0,0,0,95107696.6754677,95107696.6754677,0,140000,489271683.014523,489271815.943337,-132.928813993931,926308235.773301,926308258.975916,-23.2026152610779,140000,173615761.295246,173615761.295246,0,81854515.5634673,81854515.5634673,0,140000,1766373885.89227,1766373885.89227,0,1580841825.70708,1580841825.70708,0,140000,454018520.612782,454018520.612782,0,620696165.403788,620696297.13676,-131.732972383499,140000,303025.616686632,303025.616686632,0,420141824.527104,420141824.527104,0
"16",150000,487367991.967664,487368080.448605,-88.4809409976006,256700828.42845,256700889.064334,-60.6358844637871,150000,421054856.197613,421054856.197613,0,774699891.51609,774699905.694792,-14.178701877594,150000,0,0,0,92053963.5424004,92053963.5424004,0,150000,493403241.954934,493403356.98646,-115.031525433064,893804703.815317,893804703.815317,0,150000,189783109.634228,189783109.634228,0,87567221.2675363,87567221.2675363,0,150000,1837475330.49267,1837475330.49267,0,1592241873.19603,1592241873.19603,0,150000,468815002.10333,468815151.328989,-149.225659549236,605680878.179781,605680878.179781,0,150000,262081.818867628,262081.818867628,0,406706455.472782,406706455.472782,0
"17",160000,523013145.980657,523013157.173291,-11.1926346421242,268503116.816404,268503116.816404,0,160000,417420457.844684,417420631.695541,-173.850856900215,752173605.346651,752173605.346651,0,160000,0,0,0,89272584.3367148,89272584.3367148,0,160000,499471186.071791,499471186.071791,0,865687533.128993,865687533.128993,0,160000,206031045.143349,206031045.143349,0,93606932.9043469,93607018.5859873,-85.6816403716803,160000,1911767471.03271,1911767490.50848,-19.47576212883,1605872829.59348,1605872829.59348,0,160000,485950578.028803,485950578.028803,0,592930808.767689,592930808.767689,0,160000,221636.182696993,221636.182696993,0,394453258.612961,394453258.612961,0
"18",170000,558662050.373918,558662050.373918,0,281007166.277623,281007166.277623,0,170000,415721754.191363,415721754.191363,0,731769674.651089,731769704.790977,-30.1398885250092,170000,0,0,0,86738096.2679375,86738096.2679375,0,170000,506982008.347332,506982072.600491,-64.2531583309174,841165455.402557,841165455.402557,0,170000,222326324.823807,222326324.823807,0,99884837.6942726,99884940.1877043,-102.493431672454,170000,1988687952.12719,1988688074.70746,-122.580276489258,1621434040.81866,1621434231.85948,-191.040819883347,170000,504471816.480503,504471816.480503,0,582512407.497748,582512460.235766,-52.7380186319351,170000,190338.146725635,190338.146725635,0,383266084.478621,383266084.478621,0
"19",180000,594310943.574544,594310943.574544,0,294140681.821985,294140681.821985,0,180000,416004159.80748,416004401.099608,-241.292128205299,713326564.27237,713326564.27237,0,180000,0,0,0,84391566.1080831,84391566.1080831,0,180000,515691490.46603,515691728.182631,-237.716600835323,819530694.781767,819530694.781767,0,180000,238652934.066483,238652934.066483,0,106317050.969722,106317050.969722,0,180000,2068502431.25203,2068502862.77418,-431.522151947021,1639016262.74707,1639016408.88829,-146.141221761703,180000,524101827.097465,524101827.097465,0,573873741.481782,573873741.481782,0,180000,163859.583416048,163859.583416048,0,372982243.756703,372982243.756703,0
"20",190000,629961448.688848,629961448.688848,0,307693355.088008,307693355.088008,0,190000,418296812.265475,418296812.265475,0,696655295.034025,696655414.196135,-119.162110567093,190000,0,0,0,82266878.9816853,82266878.9816853,0,190000,525240772.331823,525240772.331823,0,800216169.509746,800216169.509746,0,190000,255026317.963374,255026317.963374,0,112919441.699339,112919441.699339,0,190000,2150740597.27205,2150740602.78739,-5.51533699035645,1658255893.26609,1658256053.28925,-160.02315735817,190000,544712028.726135,544712028.726135,0,566861116.160737,566861162.442543,-46.2818057537079,190000,145334.023102704,145334.023102704,0,363502813.16591,363502813.16591,0
"21",200000,665618176.289377,665618176.289377,0,321704694.444545,321704699.516774,-5.07222825288773,200000,422141190.432156,422141190.432156,0,681459342.308796,681459471.098027,-128.789230704308,200000,0,0,0,80319532.3203442,80319532.3203442,0,200000,535722879.953436,535722879.953436,0,783031960.153164,783031960.153164,0,200000,271412879.823745,271412879.823745,0,119682130.242529,119682130.242529,0,200000,2234911214.04292,2234911451.28632,-237.243399143219,1679172168.81322,1679172168.81322,0,200000,566042039.128573,566042039.128573,0,561611251.970391,561611251.970391,0,200000,131305.655236133,131305.655236133,0,354640734.82085,354640734.82085,0
